OrderID,OrderDate,ProductID,ProductName,Category,Brand,SubCategory,Price,Quantity,Revenue,DiscountPercent,DiscountAmount,FinalRevenue,CustomerID,CustomerName,City,State,Region,SalesChannel,PaymentMethod
O11,2025-08-12,P005,Laptop Bag,Accessories,Dell,Bags,626.95,3,1880.8500000000001,39,733.53,1147.32,CUST3378,Customer_2450,Vadodara,Gujarat,North,Amazon,PhonePe
O12,2025-03-20,P009,LED Monitor,Electronics,Samsung,Display,3429.56,2,6859.12,26,1783.37,5075.75,CUST1936,Customer_4639,Lucknow,Uttar Pradesh,Central,Website,Paytm
O13,2025-08-08,P007,Water Bottle,Fitness,Decathlon,Accessories,916.18,4,3664.72,32,1172.71,2492.01,CUST6819,Customer_2033,Kolkata,West Bengal,South,Amazon,Paytm
O14,2025-05-08,P008,Office Chair,Furniture,GreenSoul,Office,4806.57,2,9613.14,31,2980.07,6633.07,CUST6670,Customer_2024,Nashik,Maharashtra,South,Website,Credit Card
O15,2025-02-23,P007,Water Bottle,Fitness,Decathlon,Accessories,2710.27,2,5420.54,24,1300.93,4119.61,CUST8933,Customer_4611,Coimbatore,Tamil Nadu,North,Flipkart,Paytm
O16,2025-03-10,P009,LED Monitor,Electronics,Samsung,Display,579.46,2,1158.92,12,139.07,1019.85,CUST5588,Customer_429,New Delhi,Delhi,East,Flipkart,Debit Card
O17,2025-01-19,P001,Wireless Earphones,Electronics,boAt,Audio,2900.18,4,11600.72,33,3828.24,7772.48,CUST9755,Customer_9503,Bengaluru,Karnataka,South,Meesho,UPI
O18,2025-09-13,P005,Laptop Bag,Accessories,Dell,Bags,1764.27,4,7057.08,20,1411.42,5645.66,CUST9911,Customer_8306,Vadodara,Gujarat,South,Meesho,Credit Card
O19,2025-01-21,P009,LED Monitor,Electronics,Samsung,Display,3891.36,3,11674.08,31,3618.96,8055.12,CUST1483,Customer_8967,Kolkata,West Bengal,East,Flipkart,PhonePe
O20,2025-04-10,P007,Water Bottle,Fitness,Decathlon,Accessories,3093.97,4,12375.88,26,3217.73,9158.15,CUST5801,Customer_4609,Kolkata,West Bengal,South,Amazon,Credit Card
O21,2025-08-31,P004,Power Bank,Electronics,Mi,Accessories,1564.84,4,6259.36,10,625.94,5633.42,CUST7386,Customer_3722,Nagpur,Maharashtra,East,Flipkart,Credit Card
O22,2025-06-21,P007,Water Bottle,Fitness,Decathlon,Accessories,611.81,3,1835.4299999999998,38,697.46,1137.97,CUST9034,Customer_4240,Lucknow,Uttar Pradesh,East,Flipkart,Cash on Delivery
O23,2025-01-24,P004,Power Bank,Electronics,Mi,Accessories,2494.9,1,2494.9,23,573.83,1921.07,CUST8392,Customer_3097,Mysuru,Karnataka,Central,Amazon,Paytm
O24,2025-05-02,P003,Smart Watch,Electronics,Noise,Wearable,3335.57,2,6671.14,39,2601.74,4069.4,CUST3049,Customer_3482,New Delhi,Delhi,South,Amazon,PhonePe
O25,2025-08-08,P006,Running Shoes,Fashion,Nike,Footwear,4155.96,1,4155.96,31,1288.35,2867.61,CUST1165,Customer_6726,Kolkata,West Bengal,East,JioMart,Credit Card
O26,2025-04-24,P007,Water Bottle,Fitness,Decathlon,Accessories,4692.38,4,18769.52,35,6569.33,12200.19,CUST4414,Customer_7935,Noida,Uttar Pradesh,East,Website,PhonePe
O27,2025-11-16,P009,LED Monitor,Electronics,Samsung,Display,4234.27,2,8468.54,31,2625.25,5843.29,CUST4224,Customer_4754,Rajkot,Gujarat,South,Amazon,Credit Card
O28,2025-02-25,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,2918.77,3,8756.31,36,3152.27,5604.04,CUST2216,Customer_2656,Noida,Uttar Pradesh,Central,Flipkart,Credit Card
O29,2025-08-06,P003,Smart Watch,Electronics,Noise,Wearable,4201.83,3,12605.49,38,4790.09,7815.4,CUST2317,Customer_5786,Bengaluru,Karnataka,West,Amazon,Debit Card
O30,2025-02-19,P003,Smart Watch,Electronics,Noise,Wearable,2155.42,4,8621.68,36,3103.8,5517.88,CUST5072,Customer_7688,Surat,Gujarat,West,Meesho,UPI
O31,2025-02-11,P009,LED Monitor,Electronics,Samsung,Display,3214.66,1,3214.66,23,739.37,2475.29,CUST1567,Customer_6895,Kolkata,West Bengal,East,Website,Credit Card
O32,2025-05-01,P008,Office Chair,Furniture,GreenSoul,Office,2904.07,3,8712.210000000001,24,2090.93,6621.28,CUST8996,Customer_6721,Vadodara,Gujarat,Central,Amazon,Cash on Delivery
O33,2025-02-01,P003,Smart Watch,Electronics,Noise,Wearable,1921.53,3,5764.59,6,345.88,5418.71,CUST2705,Customer_9835,Noida,Uttar Pradesh,South,Website,PhonePe
O34,2025-10-31,P004,Power Bank,Electronics,Mi,Accessories,2867.11,1,2867.11,40,1146.84,1720.27,CUST9989,Customer_6601,Kolkata,West Bengal,East,Website,Paytm
O35,2025-03-16,P006,Running Shoes,Fashion,Nike,Footwear,4020.16,2,8040.32,40,3216.13,4824.19,CUST6504,Customer_5431,Noida,Uttar Pradesh,East,Website,Credit Card
O36,2025-05-23,P004,Power Bank,Electronics,Mi,Accessories,816.45,2,1632.9,9,146.96,1485.94,CUST6634,Customer_1837,Bengaluru,Karnataka,West,Amazon,PhonePe
O37,2025-05-26,P001,Wireless Earphones,Electronics,boAt,Audio,2784.74,2,5569.48,38,2116.4,3453.08,CUST7766,Customer_5817,Lucknow,Uttar Pradesh,South,Website,UPI
O38,2025-06-25,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,393.02,1,393.02,21,82.53,310.49,CUST1117,Customer_6964,Kolkata,West Bengal,North,Amazon,Debit Card
O39,2025-10-01,P008,Office Chair,Furniture,GreenSoul,Office,806.46,3,2419.38,18,435.49,1983.89,CUST4927,Customer_3504,Pune,Maharashtra,Central,Flipkart,Paytm
O40,2025-02-23,P005,Laptop Bag,Accessories,Dell,Bags,3075.93,2,6151.86,40,2460.74,3691.12,CUST5271,Customer_5786,Pune,Maharashtra,East,Website,Debit Card
O41,2025-09-08,P004,Power Bank,Electronics,Mi,Accessories,3090.75,4,12363.0,23,2843.49,9519.51,CUST8949,Customer_2755,Nagpur,Maharashtra,Central,Flipkart,Cash on Delivery
O42,2025-12-05,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,1413.36,3,4240.08,12,508.81,3731.27,CUST1125,Customer_2563,New Delhi,Delhi,Central,Meesho,Cash on Delivery
O43,2025-08-23,P004,Power Bank,Electronics,Mi,Accessories,2195.28,2,4390.56,38,1668.41,2722.15,CUST4960,Customer_3509,Mysuru,Karnataka,East,Website,Cash on Delivery
O44,2025-05-13,P009,LED Monitor,Electronics,Samsung,Display,4356.12,1,4356.12,24,1045.47,3310.65,CUST3808,Customer_3195,Kolkata,West Bengal,North,Flipkart,Credit Card
O45,2025-08-01,P008,Office Chair,Furniture,GreenSoul,Office,621.53,1,621.53,22,136.74,484.79,CUST8749,Customer_6939,Coimbatore,Tamil Nadu,South,Amazon,Paytm
O46,2025-07-12,P004,Power Bank,Electronics,Mi,Accessories,3349.68,2,6699.36,5,334.97,6364.39,CUST2653,Customer_8842,Coimbatore,Tamil Nadu,South,Meesho,Cash on Delivery
O47,2025-10-16,P009,LED Monitor,Electronics,Samsung,Display,4076.19,4,16304.76,35,5706.67,10598.09,CUST1721,Customer_8786,Nagpur,Maharashtra,East,Meesho,Credit Card
O48,2025-04-12,P006,Running Shoes,Fashion,Nike,Footwear,643.13,2,1286.26,18,231.53,1054.73,CUST7885,Customer_6178,Kolkata,West Bengal,West,JioMart,UPI
O49,2025-06-24,P009,LED Monitor,Electronics,Samsung,Display,4349.92,1,4349.92,22,956.98,3392.94,CUST3031,Customer_3237,Noida,Uttar Pradesh,South,Meesho,Cash on Delivery
O50,2025-06-25,P009,LED Monitor,Electronics,Samsung,Display,512.86,2,1025.72,17,174.37,851.35,CUST2548,Customer_3904,New Delhi,Delhi,North,Website,Paytm
O51,2025-10-29,P008,Office Chair,Furniture,GreenSoul,Office,541.85,3,1625.5500000000002,14,227.58,1397.97,CUST5773,Customer_36,Kolkata,West Bengal,North,Meesho,Credit Card
O52,2025-09-15,P001,Wireless Earphones,Electronics,boAt,Audio,1333.01,1,1333.01,31,413.23,919.78,CUST3713,Customer_3329,Bengaluru,Karnataka,South,Flipkart,Debit Card
O53,2025-09-06,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,605.09,3,1815.27,14,254.14,1561.13,CUST6667,Customer_2520,Mysuru,Karnataka,West,Flipkart,PhonePe
O54,2025-06-16,P004,Power Bank,Electronics,Mi,Accessories,3060.73,3,9182.19,30,2754.66,6427.53,CUST3145,Customer_2777,Nashik,Maharashtra,Central,Flipkart,Debit Card
O55,2025-08-27,P004,Power Bank,Electronics,Mi,Accessories,4568.17,2,9136.34,13,1187.72,7948.62,CUST8148,Customer_7403,New Delhi,Delhi,South,Meesho,UPI
O56,2025-08-14,P004,Power Bank,Electronics,Mi,Accessories,2965.04,2,5930.08,21,1245.32,4684.76,CUST1146,Customer_6259,Noida,Uttar Pradesh,Central,Amazon,PhonePe
O57,2025-12-16,P007,Water Bottle,Fitness,Decathlon,Accessories,1884.35,2,3768.7,27,1017.55,2751.15,CUST7532,Customer_1088,Surat,Gujarat,East,Meesho,Cash on Delivery
O58,2025-01-21,P001,Wireless Earphones,Electronics,boAt,Audio,4878.83,2,9757.66,17,1658.8,8098.86,CUST7852,Customer_9379,Chennai,Tamil Nadu,West,JioMart,Paytm
O59,2025-07-31,P005,Laptop Bag,Accessories,Dell,Bags,1518.86,3,4556.58,5,227.83,4328.75,CUST9053,Customer_2319,Nashik,Maharashtra,East,Website,Paytm
O60,2025-02-23,P008,Office Chair,Furniture,GreenSoul,Office,1432.56,3,4297.68,10,429.77,3867.91,CUST4652,Customer_6519,Mysuru,Karnataka,East,Meesho,Credit Card
O61,2025-06-18,P005,Laptop Bag,Accessories,Dell,Bags,4606.64,4,18426.56,39,7186.36,11240.2,CUST2703,Customer_846,Pune,Maharashtra,West,Amazon,Paytm
O62,2025-06-26,P009,LED Monitor,Electronics,Samsung,Display,1009.76,1,1009.76,22,222.15,787.61,CUST1393,Customer_7828,Kolkata,West Bengal,Central,Flipkart,PhonePe
O63,2025-04-05,P002,Bluetooth Speaker,Electronics,JBL,Audio,3390.4,3,10171.2,13,1322.26,8848.94,CUST5816,Customer_3262,Nashik,Maharashtra,South,Amazon,PhonePe
O64,2025-11-25,P004,Power Bank,Electronics,Mi,Accessories,1351.62,1,1351.62,17,229.78,1121.84,CUST7046,Customer_6733,Bengaluru,Karnataka,North,JioMart,Credit Card
O65,2025-02-03,P002,Bluetooth Speaker,Electronics,JBL,Audio,1953.0,3,5859.0,26,1523.34,4335.66,CUST1132,Customer_5720,Mumbai,Maharashtra,Central,JioMart,UPI
O66,2025-06-07,P006,Running Shoes,Fashion,Nike,Footwear,1346.9,2,2693.8,15,404.07,2289.73,CUST9755,Customer_5366,Noida,Uttar Pradesh,East,JioMart,Paytm
O67,2025-11-21,P004,Power Bank,Electronics,Mi,Accessories,3835.48,3,11506.44,37,4257.38,7249.06,CUST5202,Customer_7177,Coimbatore,Tamil Nadu,East,Amazon,PhonePe
O68,2025-08-29,P001,Wireless Earphones,Electronics,boAt,Audio,1463.11,2,2926.22,37,1082.7,1843.52,CUST2294,Customer_1248,Kolkata,West Bengal,East,Meesho,Credit Card
O69,2025-05-13,P003,Smart Watch,Electronics,Noise,Wearable,2425.83,4,9703.32,28,2716.93,6986.39,CUST7873,Customer_1877,New Delhi,Delhi,East,Amazon,Cash on Delivery
O70,2025-10-27,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,893.3,1,893.3,7,62.53,830.77,CUST5942,Customer_6801,Nagpur,Maharashtra,North,Flipkart,UPI
O71,2025-08-15,P001,Wireless Earphones,Electronics,boAt,Audio,3742.52,3,11227.56,24,2694.61,8532.95,CUST4372,Customer_9978,Bengaluru,Karnataka,West,Amazon,Debit Card
O72,2025-04-25,P004,Power Bank,Electronics,Mi,Accessories,1242.57,1,1242.57,34,422.47,820.1,CUST2201,Customer_4579,Vadodara,Gujarat,Central,Meesho,PhonePe
O73,2025-04-19,P003,Smart Watch,Electronics,Noise,Wearable,1161.21,2,2322.42,13,301.91,2020.51,CUST6012,Customer_8281,Bengaluru,Karnataka,West,Meesho,Paytm
O74,2025-12-15,P006,Running Shoes,Fashion,Nike,Footwear,2532.24,2,5064.48,39,1975.15,3089.33,CUST4734,Customer_9033,Surat,Gujarat,West,Flipkart,PhonePe
O75,2025-08-25,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,1833.51,2,3667.02,18,660.06,3006.96,CUST8993,Customer_8061,Lucknow,Uttar Pradesh,North,Website,Cash on Delivery
O76,2025-04-04,P002,Bluetooth Speaker,Electronics,JBL,Audio,3754.6,2,7509.2,32,2402.94,5106.26,CUST7236,Customer_2185,Noida,Uttar Pradesh,North,Flipkart,Debit Card
O77,2025-01-08,P006,Running Shoes,Fashion,Nike,Footwear,3789.23,3,11367.69,11,1250.45,10117.24,CUST3453,Customer_4286,Kolkata,West Bengal,North,JioMart,Credit Card
O78,2025-04-29,P007,Water Bottle,Fitness,Decathlon,Accessories,3296.79,3,9890.369999999999,26,2571.5,7318.87,CUST4708,Customer_5336,Mysuru,Karnataka,North,Amazon,Debit Card
O79,2025-12-21,P004,Power Bank,Electronics,Mi,Accessories,1468.43,3,4405.29,17,748.9,3656.39,CUST8074,Customer_7055,Kolkata,West Bengal,South,Flipkart,Paytm
O80,2025-09-14,P009,LED Monitor,Electronics,Samsung,Display,1956.24,1,1956.24,17,332.56,1623.68,CUST3113,Customer_9733,Nagpur,Maharashtra,South,Website,Paytm
O81,2025-06-24,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,4451.0,1,4451.0,20,890.2,3560.8,CUST8557,Customer_4235,Nagpur,Maharashtra,West,Flipkart,UPI
O82,2025-03-01,P006,Running Shoes,Fashion,Nike,Footwear,2782.21,1,2782.21,12,333.87,2448.34,CUST2181,Customer_4196,Coimbatore,Tamil Nadu,East,Amazon,UPI
O83,2025-05-25,P005,Laptop Bag,Accessories,Dell,Bags,2541.12,3,7623.36,33,2515.71,5107.65,CUST9071,Customer_23,Lucknow,Uttar Pradesh,Central,Meesho,Cash on Delivery
O84,2025-03-17,P005,Laptop Bag,Accessories,Dell,Bags,1699.69,3,5099.07,8,407.93,4691.14,CUST2536,Customer_9015,New Delhi,Delhi,South,Amazon,Cash on Delivery
O85,2025-02-01,P006,Running Shoes,Fashion,Nike,Footwear,2084.17,1,2084.17,25,521.04,1563.13,CUST5311,Customer_4166,Kolkata,West Bengal,East,Amazon,PhonePe
O86,2025-01-14,P004,Power Bank,Electronics,Mi,Accessories,3618.96,4,14475.84,34,4921.79,9554.05,CUST9726,Customer_8908,New Delhi,Delhi,Central,Website,Debit Card
O87,2025-12-09,P007,Water Bottle,Fitness,Decathlon,Accessories,4919.4,3,14758.199999999999,34,5017.79,9740.41,CUST2191,Customer_1054,Nagpur,Maharashtra,North,Amazon,Cash on Delivery
O88,2025-10-10,P008,Office Chair,Furniture,GreenSoul,Office,4880.98,4,19523.92,15,2928.59,16595.33,CUST8078,Customer_2308,Kolkata,West Bengal,West,Flipkart,Paytm
O89,2025-03-17,P004,Power Bank,Electronics,Mi,Accessories,384.6,2,769.2,31,238.45,530.75,CUST1242,Customer_7209,Kolkata,West Bengal,Central,Meesho,UPI
O90,2025-02-25,P002,Bluetooth Speaker,Electronics,JBL,Audio,1496.44,2,2992.88,20,598.58,2394.3,CUST4310,Customer_9633,New Delhi,Delhi,South,JioMart,Cash on Delivery
O91,2025-09-22,P002,Bluetooth Speaker,Electronics,JBL,Audio,4231.38,2,8462.76,6,507.77,7954.99,CUST8328,Customer_9772,New Delhi,Delhi,East,JioMart,Credit Card
O92,2025-01-31,P006,Running Shoes,Fashion,Nike,Footwear,1148.67,3,3446.01,32,1102.72,2343.29,CUST3199,Customer_4015,Chennai,Tamil Nadu,South,Website,Debit Card
O93,2025-07-07,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,1102.31,2,2204.62,26,573.2,1631.42,CUST2974,Customer_7620,Kolkata,West Bengal,East,Flipkart,UPI
O94,2025-05-07,P001,Wireless Earphones,Electronics,boAt,Audio,2301.81,3,6905.43,14,966.76,5938.67,CUST7791,Customer_7725,New Delhi,Delhi,North,Flipkart,UPI
O95,2025-08-17,P009,LED Monitor,Electronics,Samsung,Display,4450.15,4,17800.6,13,2314.08,15486.52,CUST3880,Customer_9669,Lucknow,Uttar Pradesh,West,Amazon,Cash on Delivery
O96,2025-12-09,P004,Power Bank,Electronics,Mi,Accessories,4005.22,1,4005.22,27,1081.41,2923.81,CUST3148,Customer_9292,Nagpur,Maharashtra,East,Flipkart,Cash on Delivery
O97,2025-03-17,P006,Running Shoes,Fashion,Nike,Footwear,4464.91,3,13394.73,11,1473.42,11921.31,CUST7284,Customer_8395,Kolkata,West Bengal,North,Amazon,Paytm
O98,2025-01-27,P008,Office Chair,Furniture,GreenSoul,Office,2407.88,2,4815.76,39,1878.15,2937.61,CUST9248,Customer_4385,Vadodara,Gujarat,North,Amazon,PhonePe
O99,2025-11-02,P001,Wireless Earphones,Electronics,boAt,Audio,3344.65,1,3344.65,34,1137.18,2207.47,CUST6200,Customer_6396,New Delhi,Delhi,West,Website,Cash on Delivery
O100,2025-12-22,P003,Smart Watch,Electronics,Noise,Wearable,2832.14,1,2832.14,15,424.82,2407.32,CUST4066,Customer_7604,New Delhi,Delhi,Central,JioMart,Credit Card
O101,2025-07-04,P009,LED Monitor,Electronics,Samsung,Display,3057.56,2,6115.12,18,1100.72,5014.4,CUST4889,Customer_9143,Noida,Uttar Pradesh,Central,Flipkart,Credit Card
O102,2025-05-31,P008,Office Chair,Furniture,GreenSoul,Office,4621.9,4,18487.6,37,6840.41,11647.19,CUST8342,Customer_8849,Chennai,Tamil Nadu,East,Flipkart,UPI
O103,2025-08-14,P009,LED Monitor,Electronics,Samsung,Display,3541.02,2,7082.04,9,637.38,6444.66,CUST1940,Customer_9339,Mysuru,Karnataka,North,JioMart,Debit Card
O104,2025-11-28,P003,Smart Watch,Electronics,Noise,Wearable,4299.04,1,4299.04,39,1676.63,2622.41,CUST7879,Customer_8325,Ahmedabad,Gujarat,East,Meesho,Paytm
O105,2025-06-24,P004,Power Bank,Electronics,Mi,Accessories,919.79,2,1839.58,9,165.56,1674.02,CUST5661,Customer_9955,Kolkata,West Bengal,West,Meesho,UPI
O106,2025-07-17,P003,Smart Watch,Electronics,Noise,Wearable,1950.69,4,7802.76,28,2184.77,5617.99,CUST3112,Customer_6046,Mysuru,Karnataka,West,Flipkart,UPI
O107,2025-09-20,P007,Water Bottle,Fitness,Decathlon,Accessories,3189.56,3,9568.68,30,2870.6,6698.08,CUST5341,Customer_7378,Rajkot,Gujarat,South,Website,Debit Card
O108,2025-02-08,P003,Smart Watch,Electronics,Noise,Wearable,1030.74,4,4122.96,33,1360.58,2762.38,CUST3182,Customer_8150,Lucknow,Uttar Pradesh,East,JioMart,Debit Card
O109,2025-06-05,P005,Laptop Bag,Accessories,Dell,Bags,3961.49,2,7922.98,22,1743.06,6179.92,CUST2051,Customer_4422,Mumbai,Maharashtra,North,JioMart,Cash on Delivery
O110,2025-12-06,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,421.81,1,421.81,31,130.76,291.05,CUST2463,Customer_2827,Nashik,Maharashtra,North,Amazon,Cash on Delivery
O111,2025-09-08,P005,Laptop Bag,Accessories,Dell,Bags,4801.41,2,9602.82,29,2784.82,6818.0,CUST5350,Customer_2781,Kolkata,West Bengal,East,JioMart,UPI
O112,2025-12-17,P008,Office Chair,Furniture,GreenSoul,Office,4321.48,3,12964.439999999999,16,2074.31,10890.13,CUST2884,Customer_6823,New Delhi,Delhi,South,Meesho,Credit Card
O113,2025-07-21,P009,LED Monitor,Electronics,Samsung,Display,2871.76,1,2871.76,30,861.53,2010.23,CUST2655,Customer_9772,Kolkata,West Bengal,West,JioMart,Debit Card
O114,2025-11-08,P009,LED Monitor,Electronics,Samsung,Display,3352.28,1,3352.28,27,905.12,2447.16,CUST2969,Customer_1272,Coimbatore,Tamil Nadu,North,Website,Cash on Delivery
O115,2025-03-08,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,1882.83,4,7531.32,32,2410.02,5121.3,CUST6797,Customer_8932,Lucknow,Uttar Pradesh,East,JioMart,PhonePe
O116,2025-10-20,P005,Laptop Bag,Accessories,Dell,Bags,4552.96,2,9105.92,5,455.3,8650.62,CUST8337,Customer_7410,Noida,Uttar Pradesh,East,Website,Cash on Delivery
O117,2025-07-10,P001,Wireless Earphones,Electronics,boAt,Audio,3189.91,2,6379.82,19,1212.17,5167.65,CUST7009,Customer_4582,Mumbai,Maharashtra,South,Meesho,Cash on Delivery
O118,2025-04-07,P009,LED Monitor,Electronics,Samsung,Display,2078.09,1,2078.09,28,581.87,1496.22,CUST4008,Customer_1949,Nagpur,Maharashtra,South,Flipkart,Debit Card
O119,2025-06-13,P001,Wireless Earphones,Electronics,boAt,Audio,1409.81,4,5639.24,38,2142.91,3496.33,CUST2977,Customer_4201,Nashik,Maharashtra,North,Meesho,PhonePe
O120,2025-07-10,P009,LED Monitor,Electronics,Samsung,Display,584.1,4,2336.4,17,397.19,1939.21,CUST6438,Customer_6353,Lucknow,Uttar Pradesh,South,Flipkart,UPI
O121,2025-01-29,P002,Bluetooth Speaker,Electronics,JBL,Audio,379.44,2,758.88,26,197.31,561.57,CUST1986,Customer_6446,New Delhi,Delhi,South,Website,Paytm
O122,2025-07-22,P009,LED Monitor,Electronics,Samsung,Display,2654.75,3,7964.25,32,2548.56,5415.69,CUST8895,Customer_3302,Surat,Gujarat,North,Flipkart,Paytm
O123,2025-02-04,P006,Running Shoes,Fashion,Nike,Footwear,942.08,4,3768.32,7,263.78,3504.54,CUST5769,Customer_4521,New Delhi,Delhi,West,Flipkart,Debit Card
O124,2025-12-02,P001,Wireless Earphones,Electronics,boAt,Audio,2150.75,1,2150.75,6,129.04,2021.71,CUST8724,Customer_3638,New Delhi,Delhi,Central,Amazon,PhonePe
O125,2025-06-26,P002,Bluetooth Speaker,Electronics,JBL,Audio,3718.37,2,7436.74,20,1487.35,5949.39,CUST2066,Customer_772,Rajkot,Gujarat,North,Amazon,Debit Card
O126,2025-02-24,P003,Smart Watch,Electronics,Noise,Wearable,712.28,1,712.28,36,256.42,455.86,CUST4148,Customer_1990,Kolkata,West Bengal,Central,Flipkart,Paytm
O127,2025-02-28,P009,LED Monitor,Electronics,Samsung,Display,1482.77,4,5931.08,18,1067.59,4863.49,CUST7378,Customer_3125,Kolkata,West Bengal,North,Website,UPI
O128,2025-08-26,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,4485.16,1,4485.16,22,986.74,3498.42,CUST3797,Customer_4806,Kolkata,West Bengal,South,Website,PhonePe
O129,2025-12-11,P008,Office Chair,Furniture,GreenSoul,Office,1104.2,1,1104.2,6,66.25,1037.95,CUST8377,Customer_2787,New Delhi,Delhi,Central,Website,Cash on Delivery
O130,2025-10-07,P004,Power Bank,Electronics,Mi,Accessories,1801.2,4,7204.8,26,1873.25,5331.55,CUST1411,Customer_9937,Noida,Uttar Pradesh,North,Website,UPI
O131,2025-11-15,P001,Wireless Earphones,Electronics,boAt,Audio,445.5,4,1782.0,20,356.4,1425.6,CUST8591,Customer_5950,Kolkata,West Bengal,Central,JioMart,UPI
O132,2025-06-10,P004,Power Bank,Electronics,Mi,Accessories,2849.28,4,11397.12,39,4444.88,6952.24,CUST1407,Customer_3105,Chennai,Tamil Nadu,East,Amazon,PhonePe
O133,2025-07-07,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,3064.44,2,6128.88,29,1777.38,4351.5,CUST1048,Customer_9191,Kolkata,West Bengal,West,JioMart,UPI
O134,2025-03-09,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,960.59,2,1921.18,30,576.35,1344.83,CUST2865,Customer_5804,Bengaluru,Karnataka,Central,Amazon,Credit Card
O135,2025-05-27,P010,Keyboard Mouse Combo,Electronics,Logitech,Accessories,2791.86,1,2791.86,6,167.51,2624.35,CUST9436,Customer_3088,Pune,Maharashtra,East,Amazon,Debit Card
O136,2025-06-01,P008,Office Chair,Furniture,GreenSoul,Office,4058.12,1,4058.12,31,1258.02,2800.1,CUST1508,Customer_9611,Pune,Maharashtra,South,Flipkart,Cash on Delivery
O137,2025-05-14,P008,Office Chair,Furniture,GreenSoul,Office,4623.24,4,18492.96,6,1109.58,17383.38,CUST4509,Customer_5192,Kolkata,West Bengal,East,Website,UPI
O138,2025-03-17,P003,Smart Watch,Electronics,Noise,Wearable,4932.96,3,14798.880000000001,24,3551.73,11247.15,CUST1700,Customer_519,Mysuru,Karnataka,Central,Meesho,Credit Card
O139,2025-06-30,P005,Laptop Bag,Accessories,Dell,Bags,2565.18,1,2565.18,11,282.17,2283.01,CUST8723,Customer_5911,Noida,Uttar Pradesh,West,Amazon,UPI
O140,2025-09-10,P001,Wireless Earphones,Electronics,boAt,Audio,2838.27,4,11353.08,10,1135.31,10217.77,CUST7565,Customer_4343,Kolkata,West Bengal,East,Flipkart,Debit Card
O141,2025-06-24,P007,Water Bottle,Fitness,Decathlon,Accessories,3847.4,4,15389.6,23,3539.61,11849.99,CUST2754,Customer_631,Vadodara,Gujarat,West,Meesho,Credit Card
